Sentence,Emotion,TRUE,SentenceCI,CI,CI_Distance
"Bu aralar o kadar huysuz ki, hatta bir iki kere sinirlendi bile.",ANGER,She,"Bu aralar o kadar huysuz ki, hatta bir iki kere sinirlendi bile. Ve inan bana, Vic, Linda hiç böyle biri değildir. Geçen gece, evlilik yıl dönümümüzü bile unuttu. Bilirsin, bu genelde kocaların unuttuğu bir şeydir.",name (Linda),1
"Bu teşhisi koymamın nedeni esasında alkol değil, bir tavşan nedeniyle öylesine sinirlendi ki, Harvey, evet, sanırım, adı Harvey dedi.",ANGER,She,"Galiba Veta hayatında bir kere bile içmedi. Şaşıracaksınız ama ben içtiğini sanıyorum. Siz ... Sizce içiyor mu? Yani, ben ... Gerçekten şaşırdım.  Bu teşhisi koymamın nedeni esasında alkol değil, bir tavşan nedeniyle öylesine sinirlendi ki, Harvey, evet, sanırım, adı Harvey dedi.",name (Veta),-4
"On kilo pirinç götürmek istedi. Haliyle, olmaz, demek zorundaydık. Çok sinirlendi .",ANGER,She,"Geçen hafta, Susan 12 kişiyle Easter' dan çıktı geldi. On kilo pirinç götürmek istedi. Haliyle, olmaz, demek zorundaydık. Çok sinirlendi .",name (Susan),-3
Onunla kızı hakkında konuştum ve çok sinirlendi .,ANGER,She,Elimi yüzümü yıkarken ... ... su almaktan dönen annesini gördüm. </s><s> Onunla kızı hakkında konuştum ve çok sinirlendi .,mother(annesi),-1
Beklediği için sinirlendi.,ANGER,She,Annen nerede? </s><s> Sizi bulmaya gitti. </s><s> Beklediği için sinirlendi . ,mother(annen),-2
"Az önce beni aradı, bayağı sinirliydi . </s><s> Telefon nerede? </s><s> Kütüphanede. </s><s> Nesi var? </s><s> - Ne anlattığını anlamadım! </s><s> Ama sesi öfkeliydi.",ANGER,She,"</s><s> - Dr. Chumley, ben ... </s><s> Çabuk. </s><s> Kente git, ama çabuk! </s><s> Annen nerede? </s><s> - Elwood amcayı sanatoryuma götürecekti. </s><s> Az önce beni aradı, bayağı sinirliydi . </s><s> Telefon nerede? </s><s> Kütüphanede. </s><s> Nesi var? </s><s> - Ne anlattığını anlamadım! </s><s> Ama sesi öfkeliydi.",mother(annen),-2
Sinirlenirse şansını zorlama; gülümserse denemeye değer.,ANGER,She,"Ve sevişiriz durmadan, karanlık gecelerde. </s><s> Kolay bir kız mıdır? </s><s> Aşağıla onu. </s> <s> Sinirlenirse şansını zorlama; gülümserse denemeye değer. </s><s> Göreceğiz.",girl (kız),-2
"<s> Sinirli , midesi sürekli ağrıyor. </s><s>",ANGER,She,"RacHel, pazartesi günü sınıfta uyuyakalmış. </s><s> Babasının bütün hafta sonu film izleyerek onu uyutmadığını söylemiş. </s><s> Dışarı çıkmamışsınız. </s><s> Her gece pizza ısmarlamışsın. </s><s> Onunla nasıl zaman geçireceğimi mi söylüyorsun? </s><s> Onu etkiliyor. </s> <s> Sinirli , midesi sürekli ağrıyor. </s><s>",name (Rachel),-6
New York’ tan ayrılırken çok sinirliydi . </s><s> Araba kullanmak sakinleştirir diye düşündü. </s><s>,ANGER,She,Arabayı Daisy kullanıyordu. </s><s> New York’ tan ayrılırken çok sinirliydi . </s><s> Araba kullanmak sakinleştirir diye düşündü. </s><s>,name (Daisy),-1
</s><s> Bu yüzden sinirli .,ANGER,She,"Bu bir kadının öz saygısı için çok hassas bir konu. </s><s> Clemence kısır değil, ama çok da doğurgan değil. </s><s> Bir de katil hormon tedavisi ... </s><s> Bu yüzden sinirli .",name (Clemence),-2
